"name"	"correct"
"aime_1983_p1"	"0"
"aime_1983_p2"	"1"
"aime_1983_p3"	"0"
"aime_1984_p1"	"0"
"aime_1984_p7"	"0"
"aime_1987_p5"	"0"
"aime_1988_p8"	"0"
"aime_1989_p8"	"14"
"aime_1990_p15"	"0"
"aime_1990_p4"	"3"
"aime_1991_p9"	"0"
"aime_1994_p3"	"0"
"aime_1995_p7"	"0"
"aime_1997_p9"	"0"
"aime_1999_p11"	"0"
"algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7"	"0"
"algebra_9onxpypzleqsum2onxpy"	"6"
"algebra_abpbcpcageq3_sumaonsqrtapbgeq3onsqrt2"	"0"
"algebra_absapbon1pabsapbleqsumabsaon1pabsa"	"1"
"algebra_absxm1pabsxpabsxp1eqxp2_0leqxleq1"	"0"
"algebra_amgm_sum1toneqn_prod1tonleq1"	"0"
"algebra_amgm_sumasqdivbgeqsuma"	"2"
"algebra_apbmpcneq0_aeq0anbeq0anceq0"	"0"
"algebra_apbon2pownleqapownpbpowon2"	"0"
"algebra_apbpceq2_abpbcpcaeq1_aleq1on3anbleq1ancleq4on3"	"13"
"algebra_bleqa_apbon2msqrtableqambsqon8b"	"0"
"algebra_cubrtrp1oncubrtreq3_rcubp1onrcubeq5778"	"0"
"algebra_ineq_nto1onlt2m1on"	"0"
"algebra_others_exirrpowirrrat"	"0"
"algebra_sqineq_at2malt1"	"17"
"algebra_sqineq_unitcircatbpabsamblt1"	"6"
"algebra_sqineq_unitcircatbpamblt1"	"16"
"algebra_sum1onsqrt2to1onsqrt10000lt198"	"0"
"amc12_2000_p1"	"0"
"amc12_2000_p12"	"1"
"amc12_2000_p20"	"0"
"amc12_2000_p6"	"0"
"amc12_2001_p21"	"0"
"amc12_2001_p5"	"2"
"amc12a_2002_p13"	"0"
"amc12a_2002_p6"	"3"
"amc12a_2003_p23"	"0"
"amc12a_2003_p5"	"1"
"amc12a_2008_p25"	"0"
"amc12a_2009_p6"	"0"
"amc12a_2009_p7"	"0"
"amc12a_2013_p4"	"6"
"amc12a_2019_p12"	"0"
"amc12a_2020_p10"	"0"
"amc12a_2020_p15"	"0"
"amc12a_2020_p25"	"0"
"amc12a_2020_p4"	"0"
"amc12a_2020_p7"	"0"
"amc12a_2020_p9"	"0"
"amc12a_2021_p12"	"0"
"amc12a_2021_p14"	"0"
"amc12a_2021_p18"	"0"
"amc12a_2021_p19"	"0"
"amc12a_2021_p22"	"0"
"amc12a_2021_p25"	"0"
"amc12a_2021_p3"	"4"
"amc12a_2021_p8"	"0"
"amc12a_2021_p9"	"0"
"amc12b_2002_p19"	"6"
"amc12b_2002_p2"	"18"
"amc12b_2002_p4"	"0"
"amc12b_2002_p7"	"0"
"amc12b_2020_p13"	"0"
"amc12b_2020_p2"	"13"
